"product_name";"product_url";"article_number";"minimum_quantity";"currency";"price"
"Aluminium EN AW-6060 T66 ronde buis";"https://www.mcb.eu/nl/aluminium/aluminium-buizen/rond/aluminium-en-aw-6060-t66-ronde-buis/p/2810-0050?";"2810-0050-81";250;"EUR";4.59
"Aluminium EN AW-2033 T8 rond nagetrokken h11";"https://www.mcb.eu/nl/aluminium/aluminium-profielen-en-staven/rond/aluminium-en-aw-2033-t8-rond-nagetrokken-h11/p/2860-0150?";"2860-0150-10";250;"EUR";7.13
